player,model,wins,losses,draws,kills,deaths,win_pct,avg_score,avg_lines,avg_garbage_sent,avg_max_height,lines_per_piece,singles,doubles,triples,tetrises,total_combos,combos_per_game,avg_max_combo
off_vs_heu_v1,offensive/tetris_dqn_offensive_vs_heuristic_v1.keras,2764,1836,0,2763,1836,60.1,9637.6,61.2,35.5,15.2,0.533,187725,27118,5587,5736,89768,19.5,3.4
neu_vs_hyb_v2,neutral/tetris_dqn_neutral_vs_hybrid_v2.keras,2676,1924,0,2676,1924,58.2,9553.9,60.3,35.1,15.4,0.527,191341,25652,4807,5087,91569,19.9,3.5
neu_vs_heu_v1,neutral/tetris_dqn_neutral_vs_heuristic_v1.keras,2646,1954,0,2646,1954,57.5,9388.1,58.8,34.2,15.4,0.521,187247,24786,4726,4865,88515,19.2,3.5
neu_vs_agent_v1,neutral/tetris_dqn_neutral_vs_agent_v1.keras,2635,1965,0,2635,1964,57.3,9476.5,60,34.9,15.4,0.527,185310,25950,5407,5628,88321,19.2,3.4
neu_vs_hyb_v1,neutral/tetris_dqn_neutral_vs_hybrid_v1.keras,2592,2008,0,2591,2008,56.3,9414.8,59.1,34.3,15.5,0.522,191976,23852,4407,4746,90471,19.7,3.5
off_vs_hyb_v1,offensive/tetris_dqn_offensive_vs_hybrid_v1.keras,2577,2023,0,2577,2023,56,9244.6,57.8,33.8,15.5,0.52,185020,24426,4522,4597,88638,19.3,3.5
off_vs_agent_v1,offensive/tetris_dqn_offensive_vs_agent_v1.keras,2559,2041,0,2559,2041,55.6,9449.6,59.4,34.4,15.6,0.523,186710,25578,5088,5049,88262,19.2,3.4
off_vs_agent_v2,offensive/tetris_dqn_offensive_vs_agent_v2.keras,2554,2046,0,2554,2046,55.5,9168.6,56.7,33.1,15.5,0.514,190277,22117,3718,3767,89778,19.5,3.5
neu_vs_heu_v2,neutral/tetris_dqn_neutral_vs_heuristic_v2.keras,2513,2087,0,2513,2087,54.6,9234.2,57,33.4,15.5,0.513,187762,23176,3869,4162,89120,19.4,3.5
off_vs_rnd_v1,offensive/tetris_dqn_offensive_vs_random_v1.keras,2477,2123,0,2477,2123,53.8,9357.6,58.3,33.5,15.7,0.517,192374,23191,4031,4296,90403,19.7,3.5
neu_vs_agent_v2,neutral/tetris_dqn_neutral_vs_agent_v2.keras,2475,2125,0,2475,2125,53.8,9129.1,56.8,33.2,15.7,0.516,178951,23648,5002,5037,84947,18.5,3.4
off_vs_rnd_v2,offensive/tetris_dqn_offensive_vs_random_v2.keras,2466,2134,0,2466,2134,53.6,9012.5,55.5,32.6,15.6,0.512,188090,21739,3418,3394,89696,19.5,3.6
off_vs_hyb_v2,offensive/tetris_dqn_offensive_vs_hybrid_v2.keras,2441,2159,0,2440,2159,53.1,8966.6,55.1,32.3,15.7,0.511,187345,21019,3340,3460,88895,19.3,3.5
neu_vs_rnd_v2,neutral/tetris_dqn_neutral_vs_random_v2.keras,2436,2164,0,2435,2163,53,9169.6,56.9,32.9,15.7,0.514,187655,22519,4009,4251,87921,19.1,3.5
neu_vs_rnd_v1,neutral/tetris_dqn_neutral_vs_random_v1.keras,2430,2170,0,2430,2170,52.8,9048.9,55.5,32.3,15.6,0.508,186344,22123,3678,3466,87385,19,3.5
off_vs_heu_v2,offensive/tetris_dqn_offensive_vs_heuristic_v2.keras,2424,2176,0,2424,2176,52.7,9012.1,55.4,32.4,15.9,0.509,185491,22119,3507,3690,88172,19.2,3.5
def_vs_agent_v1,defensive/tetris_dqn_defensive_vs_agent_v1.keras,2302,2298,0,2302,2297,50,8948.7,55.4,31.6,15.9,0.509,186952,21325,3603,3574,86858,18.9,3.5
def_vs_agent_v2,defensive/tetris_dqn_defensive_vs_agent_v2.keras,2241,2359,0,2241,2359,48.7,8815.1,54,30.6,15.9,0.502,185361,20146,3271,3266,84747,18.4,3.5
def_vs_rnd_v2,defensive/tetris_dqn_defensive_vs_random_v2.keras,2053,2547,0,2053,2547,44.6,8425.3,51,28.9,16.4,0.489,173838,20320,3223,2559,79598,17.3,3.4
def_vs_rnd_v1,defensive/tetris_dqn_defensive_vs_random_v1.keras,2044,2556,0,2044,2555,44.4,8361.9,50.5,28.9,16.4,0.491,178413,17768,2803,2448,81859,17.8,3.5
def_vs_heu_v2,defensive/tetris_dqn_defensive_vs_heuristic_v2.keras,2013,2587,0,2013,2587,43.8,8504.3,51.6,29.2,16.3,0.492,178695,19501,3156,2546,81797,17.8,3.5
def_vs_hyb_v1,defensive/tetris_dqn_defensive_vs_hybrid_v1.keras,1940,2660,0,1940,2660,42.2,8384.9,50.6,28.4,16.5,0.486,173625,19807,3089,2510,78618,17.1,3.4
def_vs_heu_v1,defensive/tetris_dqn_defensive_vs_heuristic_v1.keras,1413,3187,0,1413,3187,30.7,7489.3,43.7,23.5,17.4,0.458,159338,14748,2078,1531,68489,14.9,3.3
def_vs_hyb_v2,defensive/tetris_dqn_defensive_vs_hybrid_v2.keras,529,4071,0,529,4071,11.5,5072.6,27,13.7,18.9,0.394,98468,9907,1200,558,41081,8.9,2.6
