player,model,wins,losses,draws,kills,deaths,win_pct,avg_score,avg_lines,avg_garbage_sent,avg_max_height,lines_per_piece,singles,doubles,triples,tetrises,total_combos,combos_per_game,avg_max_combo
neu_vs_heu_v1,neutral/tetris_dqn_neutral_vs_heuristic_v1.keras,287,173,0,287,173,62.4,9040.8,56.5,33.1,15.1,0.522,18035,2335,471,468,21309,46.3,46.3
off_vs_heu_v1,offensive/tetris_dqn_offensive_vs_heuristic_v1.keras,279,181,0,279,181,60.7,9954.5,64.0,36.7,15.3,0.536,19586,2834,586,609,23615,51.3,51.3
off_vs_agent_v2,offensive/tetris_dqn_offensive_vs_agent_v2.keras,269,191,0,269,190,58.5,9137.6,56.2,33.9,15.1,0.515,18799,2271,366,353,21789,47.4,47.4
off_vs_hyb_v1,offensive/tetris_dqn_offensive_vs_hybrid_v1.keras,268,192,0,268,192,58.3,9207.2,57.7,34.1,15.4,0.523,18499,2369,484,466,21818,47.4,47.4
neu_vs_heu_v2,neutral/tetris_dqn_neutral_vs_heuristic_v2.keras,267,193,0,267,193,58.0,9138.6,56.1,33.1,15.2,0.512,18560,2201,414,405,21580,46.9,46.9
neu_vs_hyb_v2,neutral/tetris_dqn_neutral_vs_hybrid_v2.keras,260,200,0,259,200,56.5,9337.8,59.2,34.1,15.7,0.53,18778,2442,478,537,22235,48.3,48.3
neu_vs_rnd_v1,neutral/tetris_dqn_neutral_vs_random_v1.keras,253,207,0,253,207,55.0,9030.8,55.7,32.6,15.6,0.512,18619,2253,339,374,21585,46.9,46.9
off_vs_agent_v1,offensive/tetris_dqn_offensive_vs_agent_v1.keras,251,209,0,251,209,54.6,9418.3,59.0,33.9,15.7,0.52,18777,2505,500,458,22240,48.3,48.3
off_vs_rnd_v1,offensive/tetris_dqn_offensive_vs_random_v1.keras,248,212,0,248,212,53.9,9470.0,58.9,34.8,15.5,0.521,19326,2373,410,450,22559,49.0,49.0
neu_vs_agent_v1,neutral/tetris_dqn_neutral_vs_agent_v1.keras,246,214,0,246,214,53.5,9422.3,59.2,33.6,15.6,0.521,18636,2479,481,544,22140,48.1,48.1
neu_vs_hyb_v1,neutral/tetris_dqn_neutral_vs_hybrid_v1.keras,242,218,0,242,218,52.6,9123.4,57.3,32.8,15.6,0.52,18618,2319,427,456,21820,47.4,47.4
off_vs_hyb_v2,offensive/tetris_dqn_offensive_vs_hybrid_v2.keras,240,220,0,240,220,52.2,9017.6,55.5,32.7,16.0,0.51,18800,2232,311,328,21671,47.1,47.1
neu_vs_agent_v2,neutral/tetris_dqn_neutral_vs_agent_v2.keras,236,224,0,236,224,51.3,8852.6,54.7,31.8,15.9,0.51,17209,2256,508,479,20452,44.5,44.5
def_vs_heu_v2,defensive/tetris_dqn_defensive_vs_heuristic_v2.keras,234,226,0,234,226,50.9,8354.2,50.7,29.0,15.9,0.492,17409,1978,316,255,19958,43.4,43.4
off_vs_rnd_v2,offensive/tetris_dqn_offensive_vs_random_v2.keras,233,227,0,233,227,50.7,9224.2,56.7,32.8,15.8,0.51,19441,2110,376,325,22252,48.4,48.4
def_vs_agent_v2,defensive/tetris_dqn_defensive_vs_agent_v2.keras,227,233,0,227,233,49.3,8758.8,53.6,30.5,15.8,0.502,18286,2001,343,339,20969,45.6,45.6
off_vs_heu_v2,offensive/tetris_dqn_offensive_vs_heuristic_v2.keras,224,236,0,224,236,48.7,8760.6,53.7,30.9,15.9,0.505,18117,2098,343,345,20903,45.4,45.4
def_vs_agent_v1,defensive/tetris_dqn_defensive_vs_agent_v1.keras,223,237,0,223,237,48.5,9485.9,58.8,33.1,16.0,0.511,19781,2276,385,387,22829,49.6,49.6
neu_vs_rnd_v2,neutral/tetris_dqn_neutral_vs_random_v2.keras,222,238,0,222,238,48.3,9519.5,59.7,34.3,16.0,0.518,19323,2419,433,504,22679,49.3,49.3
def_vs_rnd_v1,defensive/tetris_dqn_defensive_vs_random_v1.keras,221,239,0,221,239,48.0,8163.0,48.9,28.6,16.2,0.489,17215,1767,280,222,19484,42.4,42.4
def_vs_rnd_v2,defensive/tetris_dqn_defensive_vs_random_v2.keras,209,251,0,209,251,45.4,8507.4,51.3,28.5,16.1,0.488,17430,2099,307,259,20095,43.7,43.7
def_vs_hyb_v1,defensive/tetris_dqn_defensive_vs_hybrid_v1.keras,183,277,0,183,277,39.8,8290.0,49.5,28.2,16.6,0.483,17194,1918,273,229,19614,42.6,42.6
def_vs_heu_v1,defensive/tetris_dqn_defensive_vs_heuristic_v1.keras,151,309,0,151,309,32.8,7754.1,45.7,24.9,17.3,0.464,16533,1587,211,169,18500,40.2,40.2
def_vs_hyb_v2,defensive/tetris_dqn_defensive_vs_hybrid_v2.keras,47,413,0,47,413,10.2,4940.8,26.2,12.9,18.9,0.392,9550,987,123,43,10703,23.3,23.3
